Starting lab environment…,Uruchamianie środowiska laboratoryjnego…,
Please wait. The system will open automatically.,Proszę czekać. System otworzy się automatycznie.,
Allow opening new windows,Zezwól na otwieranie nowych okien,
"This lab requires opening 2 browser windows: one for the lab system and one for the instructions panel. Please allow pop-ups for this site if your browser asks.","To laboratorium wymaga otwarcia 2 okien przeglądarki: jednego dla systemu laboratoryjnego i jednego dla panelu instrukcji. Zezwól na wyskakujące okienka dla tej strony, jeśli przeglądarka zapyta.",
Pop-ups are blocked by your browser. Please allow pop-ups for this site in your browser settings and try again.,Wyskakujące okienka są zablokowane przez przeglądarkę. Zezwól na nie w ustawieniach przeglądarki i spróbuj ponownie.,
Cancel,Anuluj,
Allow & Start Lab,Zezwól i uruchom lab,
Interactive Lab,Interaktywne laboratorium,
"This lesson includes an interactive lab. You will work in a live Frappe/ERPNext environment and your work will be automatically evaluated.","Ta lekcja zawiera interaktywne laboratorium. Będziesz pracować w środowisku Frappe/ERPNext, a Twoja praca zostanie automatycznie oceniona.",
Start Lab,Uruchom lab,
Retry Lab,Ponów lab,
Setting up your lab environment…,Przygotowywanie środowiska laboratoryjnego…,
This may take up to 30 seconds.,To może potrwać do 30 sekund.,
Failed to start lab,Nie udało się uruchomić laboratorium,
Retry,Spróbuj ponownie,
Lab Passed!,Laboratorium zaliczone!,
Lab Failed,Laboratorium niezaliczone,
Required: ,Wymagane: ,
Close,Zamknij,
Instructions,Instrukcje,
Resources,Zasoby,
Help,Pomoc,
Progress,Postęp,
done,ukończono,
User,Użytkownik,
Pass,Hasło,
Reopen system,Otwórz ponownie,
Open lab system,Otwórz system laboratoryjny,
Open pre-filled form,Otwórz wypełniony formularz,
Complete Lab,Zakończ lab,
End Lab,Zakończ lab,
Evaluating…,Ocenianie…,
Closing…,Zamykanie…,
"Copied — paste into the active field (Ctrl+V)","Skopiowano — wklej do aktywnego pola (Ctrl+V)",
Copied!,Skopiowano!,
Copy failed,Błąd kopiowania,
Pop-up blocked — allow pop-ups for this site in your browser settings.,Wyskakujące okienka są zablokowane — zezwól na nie dla tej strony w ustawieniach przeglądarki.,
Session expired. Evaluating and cleaning up…,Sesja wygasła. Ocenianie i czyszczenie…,
Evaluation error: ,Błąd oceniania: ,
No additional resources for this lab.,Brak dodatkowych zasobów dla tego laboratorium.,
Contact your instructor for assistance.,Skontaktuj się z instruktorem w celu uzyskania pomocy.,
0 = unlimited,0 = bez limitu,
About,O nas,
About this course,O kursie,
Access courses join batches and track learning progress,Przeglądaj kursy dołączaj do grup i śledź postępy,
Account ID,ID konta,
Account Name,Nazwa konta,
Achievements,Osiągnięcia,
Activate this Google Meet account for scheduling meetings.,Aktywuj to konto Google Meet do planowania spotkań.,
Activate this Zoom account for scheduling meetings.,Aktywuj to konto Zoom do planowania spotkań.,
Active,Aktywny,
Active Members,Aktywni uczestnicy,
activities,aktywności,
activity,aktywność,
Add,Dodaj,
Add a chapter,Dodaj rozdział,
Add a course to the batch,Dodaj kurs do grupy,
Add a lesson,Dodaj lekcję,
Add an assessment,Dodaj ocenę,
Add an assignment to your lesson,Dodaj zadanie do lekcji,
Add a program,Dodaj program,
Add a programming exercise to your lesson,Dodaj ćwiczenie programistyczne do lekcji,
Add a quiz to your lesson,Dodaj quiz do lekcji,
Add a remote Frappe/ERPNext system to get started.,Dodaj zdalny system Frappe/ERPNext aby rozpocząć.,
Add Chapter,Dodaj rozdział,
Add courses to your batch,Dodaj kursy do grupy,
Add Course to Program,Dodaj kurs do programu,
Add Criterion,Dodaj kryterium,
Add Lesson,Dodaj lekcję,
Add New Member,Dodaj nowego uczestnika,
Add new question,Dodaj nowe pytanie,
Add one to get started.,Dodaj jeden aby rozpocząć.,
Add Question,Dodaj pytanie,
Add quiz to this video,Dodaj quiz do tego wideo,
Add Quiz to Video,Dodaj quiz do wideo,
Address,Adres,
Address Line 1,Adres (linia 1),
Address Line 2,Adres (linia 2),
Add Role,Dodaj rolę,
Add Row,Dodaj wiersz,
Add Slot,Dodaj slot,
Add Step,Dodaj krok,
Add students to your batch,Dodaj studentów do grupy,
Add tag,Dodaj tag,
Add Test Case,Dodaj przypadek testowy,
Add to Notes,Dodaj do notatek,
Add web page to sidebar,Dodaj stronę do paska bocznego,
Add your first chapter,Dodaj swój pierwszy rozdział,
Add your first lesson,Dodaj swoją pierwszą lekcję,
Admin API Key,Klucz API administratora,
Admin API Secret,Sekret API administratora,
All,Wszystkie,
All Batches,Wszystkie grupy,
All Courses,Wszystkie kursy,
Allow Self Enrollment,Zezwól na samodzielne zapisanie,
Allow this badge to be awarded to learners.,Zezwól na przyznawanie tej odznaki uczącym się.,
Allow this coupon to be used for discounts.,Zezwól na używanie tego kuponu do zniżek.,
Allow users to enroll in this batch on their own.,Zezwól użytkownikom na samodzielne zapisanie do tej grupy.,
Allow users to view their past quiz attempts.,Zezwól użytkownikom na przeglądanie poprzednich podejść do quizu.,
All Programs,Wszystkie programy,
Also teaching,Również uczy,
Amount,Kwota,
Amount with GST,Kwota z VAT,
and,i,
and then 'Add to Home Screen',a następnie „Dodaj do ekranu głównego",
Announcement,Ogłoszenie,
Announcement has been sent successfully,Ogłoszenie zostało wysłane pomyślnie,
Announcement is required,Ogłoszenie jest wymagane,
Announcements,Ogłoszenia,
Answer,Odpowiedź,
Applicable For,Dotyczy,
applicant,kandydat,
applicants,kandydaci,
Application,Aplikacja,
Applications,Aplikacje,
Applied On,Zgłoszono,
Apply,Zastosuj,
Apply for this job,Aplikuj na to stanowisko,
Apps,Aplikacje,
Archived,Zarchiwizowane,
Are you sure you want to enroll?,Czy na pewno chcesz się zapisać?,
Are you sure you want to submit the quiz?,Czy na pewno chcesz przesłać quiz?,
A short summary of the course for search results.,Krótkie podsumowanie kursu dla wyników wyszukiwania.,
Ask a question to get help from the community.,Zadaj pytanie aby uzyskać pomoc od społeczności.,
Assessment,Ocena,
Assessment added successfully,Ocena dodana pomyślnie,
Assessments,Oceny,
Assign a Badge,Przyznaj odznakę,
Assigned For,Przypisano do,
Assign For,Przypisz dla,
Assignment,Zadanie,
Assignment created successfully,Zadanie utworzone pomyślnie,
Assignment Progress,Postęp zadania,
Assignments,Zadania,
Assignments deleted successfully,Zadania usunięte pomyślnie,
Assignment Submission,Zgłoszenie zadania,
Assignment Submissions,Zgłoszenia zadań,
Assignment submitted successfully,Zadanie przesłane pomyślnie,
Assignment updated successfully,Zadanie zaktualizowane pomyślnie,
Assign To,Przypisz do,
at {0} minutes,o {0} minutach,
Attempted Questions,Pytania podjęte,
Attendance for Class - {0},Obecność na zajęciach — {0},
Attended for,Uczestniczono przez,
Authorize Google Calendar Access,Autoryzuj dostęp do Kalendarza Google,
Auto Recording,Automatyczne nagrywanie,
Availability updated successfully,Dostępność zaktualizowana pomyślnie,
Available Slots,Dostępne sloty,
Average Completion Rate,Średni wskaźnik ukończenia,
Average Feedback Received,Średnia otrzymanych opinii,
Average Progress %,Średni postęp %,
Average Rating,Średnia ocena,
Average Watch Time (mins),Średni czas oglądania (min),
Back to Course,Powrót do kursu,
Badge,Odznaka,
Badge assignment created successfully,Przypisanie odznaki utworzone pomyślnie,
Badge assignments deleted successfully,Przypisania odznak usunięte pomyślnie,
Badge assignment updated successfully,Przypisanie odznaki zaktualizowane pomyślnie,
Badge created successfully,Odznaka utworzona pomyślnie,
Badge deleted successfully,Odznaka usunięta pomyślnie,
Badge updated successfully,Odznaka zaktualizowana pomyślnie,
Base URL of the external system,Bazowy URL zewnętrznego systemu,
Batch,Grupa,
Batch created successfully,Grupa utworzona pomyślnie,
Batch deleted successfully,Grupa usunięta pomyślnie,
Batch Details,Szczegóły grupy,
Batch End Date,Data zakończenia grupy,
Batch Enrollment,Zapisanie do grupy,
Batch Enrollment Confirmation,Potwierdzenie zapisania do grupy,
Batches,Grupy,
Batch overview,Przegląd grupy,
Batch published,Grupa opublikowana,
Batch Start Date,Data rozpoczęcia grupy,
Batch Summary,Podsumowanie grupy,
Batch unpublished,Publikacja grupy cofnięta,
Batch updated successfully,Grupa zaktualizowana pomyślnie,
Billing Details,Dane rozliczeniowe,
Billing Name,Nazwa rozliczeniowa,
Bio,Biogram,
Book a free onboarding session with the Frappe team,Zarezerwuj bezpłatną sesję wdrożeniową z zespołem Frappe,
Brand Logo,Logo marki,
Brand Name,Nazwa marki,
Brand Settings,Ustawienia marki,
Build and manage courses chapters and lessons,Twórz kursy rozdziały i lekcje oraz zarządzaj nimi,
Business Owner / Team Lead,Właściciel firmy / lider zespołu,
Buy this course,Kup ten kurs,
Category,Kategoria,
Category added successfully,Kategoria dodana pomyślnie,
Category created successfully,Kategoria utworzona pomyślnie,
Category deleted successfully,Kategoria usunięta pomyślnie,
Category Name,Nazwa kategorii,
Category updated successfully,Kategoria zaktualizowana pomyślnie,
certificate,certyfikat,
Certificate of completion,Certyfikat ukończenia,
Certificate price,Cena certyfikatu,
certificates,certyfikaty,
Certificates,Certyfikaty,
Certificate saved successfully,Certyfikat zapisany pomyślnie,
Certificates generated successfully,Certyfikaty wygenerowane pomyślnie,
Certification,Certyfikacja,
Certified,Certyfikowany,
Certified Members,Certyfikowani uczestnicy,
Change,Zmień,
Changes saved successfully,Zmiany zapisane pomyślnie,
Chapter added successfully,Rozdział dodany pomyślnie,
Chapter deleted successfully,Rozdział usunięty pomyślnie,
Chapter moved successfully,Rozdział przeniesiony pomyślnie,
Chapters,Rozdziały,
Chapter updated successfully,Rozdział zaktualizowany pomyślnie,
Charge a fee for batch enrollment.,Pobieraj opłatę za zapisanie do grupy.,
Charge learners to enroll in this course.,Pobieraj opłatę od uczących się za zapisanie do kursu.,
Check,Sprawdź,
Check All Submissions,Sprawdź wszystkie zgłoszenia,
Checkout Courses,Przejrzyj kursy,
Check Submission,Sprawdź zgłoszenie,
Check Submissions,Sprawdź zgłoszenia,
Choose all answers that apply,Wybierz wszystkie pasujące odpowiedzi,
Choose an existing question,Wybierz istniejące pytanie,
Choose an icon,Wybierz ikonę,
Choose a payment provider to configure its credentials.,Wybierz dostawcę płatności aby skonfigurować jego dane.,
Choose one answer,Wybierz jedną odpowiedź,
City,Miasto,
Clear,Wyczyść,
Click here,Kliknij tutaj,
Click to upload an image.,Kliknij aby przesłać obraz.,
Client ID,ID klienta,
Client Secret,Sekret klienta,
Closed,Zamknięte,
Close preview,Zamknij podgląd,
Code,Kod,
Collapse,Zwiń,
Color,Kolor,
Comma separated keywords,Słowa kluczowe oddzielone przecinkami,
Comma separated keywords for SEO,Słowa kluczowe SEO oddzielone przecinkami,
Comments,Komentarze,
Comments by Evaluator,Komentarze oceniającego,
Community,Społeczność,
Community Manager,Menedżer społeczności,
Company Details,Dane firmy,
Company Email Address,Adres e-mail firmy,
Company Logo,Logo firmy,
Company Name,Nazwa firmy,
Company Prefix,Prefiks firmy,
